Month,Day,Debit_Amount
1,4,12.95
1,4,17.93
1,4,50.00
1,4,7.10
1,4,2.20
1,6,1.99
1,7,0.50
1,7,0.08
1,7,2.86
1,11,16.44
1,11,10.00
1,11,18.95
1,11,2.00
1,11,2.00
1,11,2.00
1,18,35.78
1,19,2.50
1,21,2.29
1,21,0.07
1,21,2.66
1,22,7.99
1,22,9.74
1,25,0.99
1,25,3.06
1,26,82.99
1,29,20.00
1,29,20.00
1,29,20.00
1,29,9.99
1,29,2.00
1,29,2.00
1,29,2.00
2,1,1.38
2,1,0.99
2,1,17.93
2,1,1.37
2,2,8.00
2,2,50.00
2,3,2.20
2,8,10.00
2,8,40.79
2,8,0.50
2,8,0.08
2,8,2.84
2,9,10.00
2,9,16.44
2,10,1.00
2,10,30.45
2,11,6.18
2,16,1.51
2,18,54.12
2,22,7.99
2,22,3.85
2,22,7.59
2,22,15.03
2,22,2.50
2,23,8.09
2,23,3.11
2,23,1.74
2,23,1.37
2,24,1.52
2,26,82.99
3,1,2.50
3,1,1.34
3,1,17.93
3,3,2.20
3,4,49.99
3,8,0.50
3,8,0.08
3,8,2.82
3,12,16.44
3,18,1.00
3,22,7.99
3,22,3.67
3,22,15.05
3,22,2.00
3,23,13.14
3,23,3.20
3,25,6.90
3,26,82.99
3,29,3.75
3,29,4.90
3,29,4.00
3,29,4.00
3,29,1.00
3,31,1.36
4,1,20.01
4,1,17.93
4,6,2.00
4,6,2.00
4,6,2.20
4,6,4.90
4,9,5.00
4,9,16.44
4,21,15.75
4,22,7.99
4,26,82.99
4,26,11.00
4,26,2.90
4,26,11.35
4,28,97.99
4,30,1.35
5,4,1.99
5,4,17.93
5,4,18.70
5,4,15.01
5,5,18.00
5,10,17.31
5,11,2.40
5,24,7.99
5,26,82.99
6,1,17.93
6,1,15.00
6,1,1.32
6,1,3.60
6,3,2.20
6,7,10.00
6,7,9.50
6,8,20.00
6,9,15.00
6,9,7.00
6,9,16.66
6,14,6.15
6,14,9.50
6,18,2.50
6,21,4.80
6,21,6.40
6,21,3.75
6,21,7.00
6,22,7.99
6,24,3.00
6,24,3.00
6,24,2.69
6,28,82.99
6,29,3.90
6,29,1.35
6,29,6.00
7,1,17.93
7,1,14.18
7,2,10.02
7,5,2.20
7,12,16.66
7,12,2.50
7,12,2.10
7,12,1.00
7,12,1.00
7,12,20.00
7,12,16.62
7,16,17.08
7,19,3.90
7,19,1.00
7,19,0.89
7,19,8.17
7,19,15.00
7,19,4.15
7,19,3.99
7,21,10.12
7,21,8.39
7,22,20.91
7,22,7.99
7,23,4.00
7,26,10.00
7,26,3.85
7,26,2.60
7,26,82.99
7,26,2.00
7,26,3.00
7,26,19.75
7,27,7.50
7,28,24.28
7,28,20.00
7,28,1.25
7,29,1.36
7,30,12.15
7,30,22.99
8,2,16.34
8,2,9.75
8,2,7.99
8,2,7.10
8,2,17.93
8,2,10.00
8,2,2.00
8,2,2.00
8,2,10.44
8,2,3.15
8,2,18.09
8,2,23.01
8,2,4.00
8,4,34.95
8,5,20.00
8,9,5.25
8,9,5.00
8,9,3.99
8,9,1.99
8,9,6.00
8,9,16.66
8,9,15.61
8,9,15.20
8,9,3.10
8,9,1.00
8,16,5.70
8,16,4.00
8,16,1.50
8,17,13.72
8,17,2.00
8,23,7.99
8,24,9.44
8,25,13.95
8,26,82.99
8,31,15.85
8,31,2.99
8,31,17.00
8,31,60.00
8,31,100.00
8,31,1.36
9,1,60.00
9,1,17.93
9,2,21.24
9,6,60.00
9,6,15.00
9,6,11.99
9,7,24.99
9,7,12.60
9,9,1.05
9,9,16.66
9,10,1.00
9,13,30.00
9,13,6.10
9,14,30.01
9,14,21.71
9,14,9.99
9,14,3.50
9,14,60.00
9,14,4.05
9,14,1.00
9,17,1.04
9,17,34.83
9,20,28.61
9,20,20.00
9,20,11.50
9,20,10.00
9,20,30.00
9,21,2.49
9,21,8.49
9,21,21.24
9,21,15.99
9,21,4.99
9,21,4.00
9,21,1.50
9,22,25.00
9,22,7.99
9,23,11.70
9,23,2.00
9,24,5.00
9,27,1.37
9,27,7.00
9,27,82.99
9,27,6.99
9,28,25.01
9,28,40.00
9,28,20.13
9,28,11.49
9,28,8.69
9,28,100.00
9,28,183.98
9,29,80.00
9,30,7.99
10,1,20.00
10,1,17.93
10,4,8.35
10,4,7.99
10,4,109.99
10,4,35.00
10,5,53.00
10,5,12.99
10,5,25.00
10,5,19.77
10,5,12.50
10,5,19.48
10,7,5.00
10,8,15.95
10,11,16.69
10,11,3.73
10,11,16.66
10,11,0.78
10,11,26.36
10,11,5.50
10,11,2.00
10,11,1.78
10,11,12.64
10,12,3.52
10,13,3.77
10,14,10.00
10,18,24.65
10,18,22.00
10,18,14.89
10,18,17.14
10,18,4.00
10,18,15.00
10,18,5.00
10,19,14.00
10,19,14.00
10,22,7.99
10,22,3.00
10,25,10.94
10,25,120.00
10,25,62.98
10,25,10.00
10,26,45.54
10,26,6.99
10,26,82.99
10,27,1.00
10,27,33.75
10,27,20.00
10,27,16.98
10,27,11.83
10,29,9.99
10,29,120.00
10,29,50.00
10,29,100.00
11,1,25.02
11,1,12.49
11,1,3.05
11,1,2.00
11,1,5.49
11,1,13.20
11,1,12.49
11,1,9.00
11,1,7.53
11,1,3.00
11,1,2.85
11,1,2.49
11,1,2.00
11,1,2.00
11,2,18.43
11,5,60.00
11,5,3.83
